TaskID     GiftID     GiftType      TaskType      RequestTime        TaskArrival     TT      Responsable
____________________________________________________________________________________________________________
1             1          3              A           1671190434         1671190434         2              B
2             2          1              C           1671190435         1671190435         1              A
3             1          3              C           1671190434         1671190436         1              B
4             2          1              D           1671190435         1671190436         1              S
5             1          3              D           1671190434         1671190437         1              S
7             4          1              C           1671190438         1671190438         1              B
6             3          2              P           1671190437         1671190437         3              A
8             4          1              D           1671190438         1671190439         1              S
10             3          2              C           1671190437         1671190440         1              B
11             6          1              C           1671190440         1671190440         2              B
12             3          2              D           1671190437         1671190441         1              S
9             5          2              P           1671190439         1671190439         4              A
13             7          1              C           1671190441         1671190441         2              B
14             6          1              D           1671190440         1671190442         1              S
17             5          2              C           1671190439         1671190443         1              A
18             7          1              D           1671190441         1671190443         1              S
19             9          1              C           1671190443         1671190443         1              B
20             5          2              D           1671190439         1671190444         1              S
21             9          1              D           1671190443         1671190444         2              S
15             8          4              P           1671190442         1671190442         5              A
16             8          4              Q           1671190442         1671190442         5              S
23             11          3              A           1671190445         1671190445         2              B
16             8          4              C           1671190442         1671190447         1              B
26             11          3              C           1671190445         1671190447         2              B
28             8          4              D           1671190442         1671190448         1              S
22             10          2              P           1671190444         1671190444         6              A
30             11          3              D           1671190445         1671190449         1              S
27             13          1              C           1671190447         1671190447         3              B
31             10          2              C           1671190444         1671190450         1              A
32             13          1              D           1671190447         1671190450         1              S
34             10          2              D           1671190444         1671190451         1              S
33             15          3              A           1671190450         1671190450         2              B
36             15          3              C           1671190450         1671190452         1              B
24             12          2              P           1671190446         1671190446         8              A
38             15          3              D           1671190450         1671190453         1              S
40             12          2              C           1671190446         1671190454         1              A
35             16          3              A           1671190451         1671190451         4              B
42             12          2              D           1671190446         1671190455         1              S
43             16          3              C           1671190451         1671190455         1              B
45             16          3              D           1671190451         1671190456         1              S
29             14          2              P           1671190448         1671190448         10              A
39             18          3              A           1671190453         1671190453         5              B
47             21          4              Q           1671190456         1671190456         2              S
48             22          1              C           1671190457         1671190457         2              A
49             14          2              C           1671190448         1671190458         1              B
52             23          4              Q           1671190458         1671190458         1              S
50             18          3              C           1671190453         1671190458         2              A
53             22          1              D           1671190457         1671190459         1              S
55             24          1              C           1671190459         1671190459         2              A
44             20          3              A           1671190455         1671190455         6              B
54             14          2              D           1671190448         1671190459         2              S
59             20          3              C           1671190455         1671190461         1              B
56             18          3              D           1671190453         1671190460         2              S
58             24          1              D           1671190459         1671190461         2              S
37             17          2              P           1671190452         1671190452         12              A
57             25          3              A           1671190460         1671190460         4              B
62             20          3              D           1671190455         1671190462         2              S
64             17          2              C           1671190452         1671190464         1              A
65             25          3              C           1671190460         1671190464         1              B
61             26          5              Q           1671190461         1671190461         4              S
66             28          1              C           1671190464         1671190464         2              A
67             17          2              D           1671190452         1671190465         1              S
69             29          1              C           1671190465         1671190465         2              A
60             26          5              A           1671190461         1671190461         6              B
68             25          3              D           1671190460         1671190465         2              S
71             30          1              C           1671190466         1671190466         2              A
73             26          5              C           1671190461         1671190467         1              B
70             28          1              D           1671190464         1671190466         2              S
72             29          1              D           1671190465         1671190467         2              S
63             27          3              A           1671190463         1671190463         7              B
75             30          1              D           1671190466         1671190468         2              S
41             19          2              P           1671190454         1671190454         17              A
77             32          1              C           1671190468         1671190468         3              B
76             26          5              D           1671190461         1671190468         3              S
79             27          3              C           1671190463         1671190470         2              A
80             34          1              C           1671190470         1671190470         2              B
82             32          1              D           1671190468         1671190471         1              S
81             19          2              C           1671190454         1671190471         2              A
84             27          3              D           1671190463         1671190472         1              S
86             36          1              C           1671190472         1671190472         1              B
85             34          1              D           1671190470         1671190472         2              S
87             19          2              D           1671190454         1671190473         2              S
90             38          1              C           1671190474         1671190474         1              B
