TaskID     GiftID     GiftType      TaskType      RequestTime        TaskArrival     TT      Responsable      
____________________________________________________________________________________________________________
1             1          3              A           1671190570         1671190570         2              B       
2             2          1              C           1671190571         1671190571         1              A       
3             1          3              C           1671190570         1671190572         1              B       
4             3          1              C           1671190572         1671190572         1              A       
5             2          1              D           1671190571         1671190572         2              S       
9             5          1              C           1671190574         1671190574         1              B       
6             1          3              D           1671190570         1671190573         3              S       
7             4          2              P           1671190573         1671190573         3              A       
12             4          2              C           1671190573         1671190576         1              B       
8             3          1              D           1671190572         1671190573         5              S       
13             7          1              C           1671190576         1671190576         2              B       
11             6          2              P           1671190575         1671190575         4              A       
15             8          1              C           1671190577         1671190577         2              B       
10             5          1              D           1671190574         1671190575         5              S       
19             6          2              C           1671190575         1671190579         1              A       
21             10          1              C           1671190579         1671190579         1              B       
14             4          2              D           1671190573         1671190577         5              S       
17             9          4              P           1671190578         1671190578         5              A       
25             12          3              A           1671190581         1671190581         2              B       
16             7          1              D           1671190576         1671190578         6              S       
28             12          3              C           1671190581         1671190583         1              B       
29             14          1              C           1671190583         1671190583         2              B       
24             11          2              P           1671190580         1671190580         6              A       
20             8          1              D           1671190577         1671190579         7              S       
33             16          1              C           1671190585         1671190585         1              B       
34             11          2              C           1671190580         1671190586         1              A       
22             6          2              D           1671190575         1671190580         8              S       
36             17          3              A           1671190586         1671190586         2              B       
39             17          3              C           1671190586         1671190588         1              B       
23             10          1              D           1671190579         1671190580         10              S       
26             13          2              P           1671190582         1671190582         8              A       
43             13          2              C           1671190582         1671190590         1              A       
38             18          3              A           1671190587         1671190587         4              B       
30             12          3              D           1671190581         1671190584         8              S       
46             18          3              C           1671190587         1671190591         1              B       
32             14          1              D           1671190583         1671190585         9              S       
31             15          2              P           1671190584         1671190584         10              A       
42             20          3              A           1671190589         1671190589         5              B       
51             24          1              C           1671190593         1671190593         2              A       
52             15          2              C           1671190584         1671190594         1              B       
35             16          1              D           1671190585         1671190586         10              S       
53             20          3              C           1671190589         1671190594         2              A       
18             9          4              Q           1671190578         1671190578         19              S       
58             26          1              C           1671190595         1671190595         2              A       
47             22          3              A           1671190591         1671190591         6              B       
18             9          4              Q           1671190578         1671190597         1              A       
62             22          3              C           1671190591         1671190597         1              B       
37             11          2              D           1671190580         1671190587         12              S       
50             23          4              Q           1671190592         1671190592         8              S       
60             27          3              A           1671190596         1671190596         4              B       
40             19          2              P           1671190588         1671190588         13              A       
67             29          1              C           1671190598         1671190598         3              B       
41             17          3              D           1671190586         1671190589         13              S       
70             31          1              C           1671190600         1671190600         2              A       
69             27          3              C           1671190596         1671190600         2              B       
73             32          1              C           1671190601         1671190601         2              A       
45             13          2              D           1671190582         1671190591         13              S       
76             33          1              C           1671190602         1671190602         2              A       
63             28          5              A           1671190597         1671190597         7              B       
77             32          1              D           1671190601         1671190603         3              S       
68             30          3              A           1671190599         1671190599         7              B       
44             21          2              P           1671190590         1671190590         17              A       
81             35          1              C           1671190604         1671190604         3              B       
79             33          1              D           1671190602         1671190604         4              S       
83             30          3              C           1671190599         1671190606         2              A       
84             37          1              C           1671190606         1671190606         2              B       
85             21          2              C           1671190590         1671190607         2              A       
90             39          1              C           1671190608         1671190608         1              B       
74             31          1              D           1671190600         1671190602         8              S       
94             41          1              C           1671190610         1671190610         1              B       
48             18          3              D           1671190587         1671190592         20              S       
49             23          4              P           1671190592         1671190592         20              A       
97             23          4              C           1671190592         1671190612         1              B       
56             24          1              D           1671190593         1671190595         19              S       
55             25          4              Q           1671190594         1671190594         21              S       
54             25          4              P           1671190594         1671190594         21              A       
103             45          1              C           1671190614         1671190614         1              B       
64             28          5              Q           1671190597         1671190597         19              S       
104             25          4              C           1671190594         1671190615         1              A       
64             28          5              C           1671190597         1671190616         1              B       
99             43          4              Q           1671190612         1671190612         5              S       
102             44          4              Q           1671190613         1671190613         5              S       
78             34          2              P           1671190603         1671190603         16              A       
109             47          5              C           1671190616         1671190616         3              B       
107             46          4              Q           1671190615         1671190615         4              S       
115             34          2              C           1671190603         1671190619         1              A       
114             49          3              A           1671190618         1671190618         3              B       
57             15          2              D           1671190584         1671190595         26              S       
119             51          1              C           1671190620         1671190620         2              B       
82             36          2              P           1671190605         1671190605         18              A       
120             49          3              C           1671190618         1671190621         2              B       
59             20          3              D           1671190589         1671190596         27              S       
121             52          1              C           1671190621         1671190621         3              A       
124             36          2              C           1671190605         1671190623         1              B       
61             26          1              D           1671190595         1671190597         28              S       
117             50          3              A           1671190619         1671190619         7              B       
87             38          2              P           1671190607         1671190607         20              A       
65             9          4              D           1671190578         1671190598         29              S       
131             50          3              C           1671190619         1671190626         1              B       
133             38          2              C           1671190607         1671190627         1              A       
66             22          3              D           1671190591         1671190598         31              S       
123             53          3              A           1671190622         1671190622         7              B       
110             47          5              Q           1671190616         1671190616         14              S       
140             53          3              C           1671190622         1671190629         1              B       
93             40          2              P           1671190609         1671190609         22              A       
113             48          4              Q           1671190617         1671190617         14              S       
141             60          1              C           1671190629         1671190629         2              B       
110             47          5              Q           1671190616         1671190630         2              A       
144             40          2              C           1671190609         1671190631         1              B       
146             62          1              C           1671190631         1671190631         2              A       
72             29          1              D           1671190598         1671190601         32              S       
149             63          1              C           1671190632         1671190632         2              A       
126             54          3              A           1671190623         1671190623         11              B       
150             62          1              D           1671190631         1671190633         2              S       
153             54          3              C           1671190623         1671190634         1              B       
143             61          2              P           1671190630         1671190630         7              A       
152             63          1              D           1671190632         1671190634         3              S       
129             55          3              A           1671190624         1671190624         13              B       
158             61          2              C           1671190630         1671190637         1              A       
159             55          3              C           1671190624         1671190637         1              B       
75             27          3              D           1671190596         1671190602         37              S       
132             57          3              A           1671190626         1671190626         14              B       
96             42          2              P           1671190611         1671190611         30              A       
161             61          2              D           1671190630         1671190638         3              S       
163             69          1              C           1671190638         1671190638         3              B       
166             57          3              C           1671190626         1671190640         2              A       
136             58          5              Q           1671190627         1671190627         15              S       
168             42          2              C           1671190611         1671190641         1              B       
170             72          1              C           1671190641         1671190641         2              A       
86             35          1              D           1671190604         1671190607         37              S       
135             58          5              A           1671190627         1671190627         17              B       
176             58          5              C           1671190627         1671190644         1              B       
98             43          4              P           1671190612         1671190612         34              A       
88             30          3              D           1671190599         1671190608         38              S       
180             43          4              C           1671190612         1671190646         1              A       
154             65          3              A           1671190634         1671190634         13              B       
181             77          1              C           1671190646         1671190646         2              A       
89             37          1              D           1671190606         1671190608         40              S       
183             65          3              C           1671190634         1671190647         1              B       
139             59          4              Q           1671190628         1671190628         21              S       
164             70          5              C           1671190639         1671190639         11              B       
101             44          4              P           1671190613         1671190613         38              A       
91             21          2              D           1671190590         1671190609         42              S       
189             80          1              C           1671190649         1671190649         2              B       
192             44          4              C           1671190613         1671190651         1              A       
92             39          1              D           1671190608         1671190609         44              S       
167             71          3              A           1671190640         1671190640         13              B       
196             83          1              C           1671190652         1671190652         2              B       
106             46          4              P           1671190615         1671190615         40              A       
95             41          1              D           1671190610         1671190611         44              S       
197             71          3              C           1671190640         1671190653         2              B       
202             46          4              C           1671190615         1671190655         1              A       
165             70          5              Q           1671190639         1671190639         17              S       
204             86          1              C           1671190655         1671190655         2              A       
173             73          3              A           1671190642         1671190642         15              B       
100             23          4              D           1671190592         1671190613         45              S       
165             70          5              Q           1671190639         1671190656         2              A       
206             87          1              C           1671190656         1671190656         2              B       
208             73          3              C           1671190642         1671190657         2              A       
105             45          1              D           1671190614         1671190615         45              S       
212             89          1              C           1671190658         1671190658         2              A       
175             74          3              A           1671190643         1671190643         17              B       
216             74          3              C           1671190643         1671190660         1              B       
108             25          4              D           1671190594         1671190616         46              S       
217             91          1              C           1671190660         1671190660         2              B       
112             48          4              P           1671190617         1671190617         46              A       
219             92          1              C           1671190661         1671190661         2              B       
111             28          5              D           1671190597         1671190617         47              S       
221             93          1              C           1671190662         1671190662         2              A       
222             48          4              C           1671190617         1671190663         1              B       
224             94          1              C           1671190663         1671190663         2              A       
223             92          1              D           1671190661         1671190663         3              S       
177             75          3              A           1671190644         1671190644         22              B       
229             96          1              C           1671190665         1671190665         2              B       
228             94          1              D           1671190663         1671190665         3              S       
130             56          2              P           1671190625         1671190625         43              A       
230             75          3              C           1671190644         1671190666         2              B       
231             97          1              C           1671190666         1671190666         3              A       
233             98          1              C           1671190667         1671190667         2              B       
225             93          1              D           1671190662         1671190664         6              S       
234             56          2              C           1671190625         1671190668         2              A       
236             99          1              C           1671190668         1671190668         2              B       
220             91          1              D           1671190660         1671190662         10              S       
184             78          5              C           1671190647         1671190647         25              B       
138             59          4              P           1671190628         1671190628         45              A       
243             102          1              C           1671190671         1671190671         2              B       
118             34          2              D           1671190603         1671190620         54              S       
245             103          1              C           1671190672         1671190672         2              A       
246             59          4              C           1671190628         1671190673         1              B       
122             51          1              D           1671190620         1671190622         54              S       
188             79          3              A           1671190648         1671190648         28              B       
185             78          5              Q           1671190647         1671190647         30              S       
151             64          2              P           1671190633         1671190633         44              A       
251             105          1              C           1671190674         1671190674         3              B       
254             79          3              C           1671190648         1671190676         2              A       
185             78          5              C           1671190647         1671190677         1              B       
125             49          3              D           1671190618         1671190623         56              S       
256             64          2              C           1671190633         1671190677         2              A       
261             109          1              C           1671190678         1671190678         2              A       
194             82          3              A           1671190651         1671190651         29              B       
127             52          1              D           1671190621         1671190624         57              S       
263             110          1              C           1671190679         1671190679         2              A       
265             82          3              C           1671190651         1671190680         1              B       
128             36          2              D           1671190605         1671190624         59              S       
201             85          3              A           1671190654         1671190654         29              B       
157             67          2              P           1671190636         1671190636         48              A       
269             112          1              C           1671190681         1671190681         3              B       
134             50          3              D           1671190619         1671190627         58              S       
271             85          3              C           1671190654         1671190683         2              A       
273             67          2              C           1671190636         1671190684         1              B       
275             115          1              C           1671190684         1671190684         2              A       
137             38          2              D           1671190607         1671190628         59              S       
278             116          1              C           1671190685         1671190685         2              A       
209             88          3              A           1671190657         1671190657         30              B       
280             117          1              C           1671190686         1671190686         2              A       
282             88          3              C           1671190657         1671190687         1              B       
142             53          3              D           1671190622         1671190630         59              S       
283             118          1              C           1671190687         1671190687         2              A       
227             95          3              A           1671190664         1671190664         26              B       
